source	syllabary	pronunciation	definition
ced	ᎠᏟᎠ	a¹dlị³ɂa	he's pouring liquid in a container
ced	ᎠᏟᎠᏙ	ạ²dlị²ɂạ²do	earring
ced	ᎠᏟᎦ	a¹dli³²ga	1. it's pouring into a container (liquid), 2. it's filling
ced	ᎠᏟᎭ	a¹dli²³ha	he's drawing a liquid out of a container
ced	ᎠᏟᏍᏗᎭ	a¹dli³²sdị²ha	he's pouring liquid in a container
ced	ᎠᏟᏍᏙᏗ	ạ³dli¹sdoh²di	container (for liquid)
ced	ᎠᏠᏱᎭ	a¹dlo²hyị³ha	he's crying
ced	ᎠᏠᎢᏍᎦ	a¹dloy²sga	he's getting off
ced	ᎠᏢᏈᏍᎦ	a¹dlv²³kwsga	he's bragging
ced	ᎠᏢᏔᏍᎦ	a¹dlv²tạ³sga	he's catching up with him, it
ced	ᎠᏙᎳᏅᏍᏗ	ạ²do²lạ²nv³sdi	walking cane
ced	ᎠᏙᏂᏍᎩ	a²do²³ni⁴sgi	sorcerer
ced	ᎠᏚᏓᎴᏍᏗ	ạ²du²dạ²le⁴sdi	freedom
ced	ᎠᏛᏥ	Ạ²dṿ²ji	1. Dutch, 2. German
ced	ᎠᏛᏁᎭ	a¹dv³nẹ²ha	he's doing it
ced	ᎠᏛᏁᎵᎭ	a¹dv³ne²lị³ha	he's acting silly
ced	ᎠᏛᏁᎵᏍᎩ	ạ²dv¹ne²³li⁴sgi	actor
ced	ᎠᏛᏅᎢᏍᏗᎭ	a¹dv²nv³ɂị²sdị³ha	1. he's preparing it.  2. he's getting ready
ced	ᎠᎦᏓᎭᎢ	ạ²ga²da²ha⁴ɂi	dirty (animate)
ced	ᎠᎦᏟᏱ	ạ²gạ²hli⁴yi	eager
ced	ᎠᎦᎵᎭ	a¹ga³lị²ha	it's (sun or moon) shining
ced	ᎠᎦᎳᏍᎦ	a¹gal³²sga	1.  he's breaking a flexible object, 2. He's cutting a flexible object
ced	ᎠᎦᎷᎦ	a²gạ²lu²³ga	twister (tornado)
ced	ᎠᎦᎾᏗᎠ	a¹gạ²na²³dị³ɂa	he's licking it
ced	ᎠᎦᎾᎦᏘ	ạ²gạɂ³nạ²kti	doctor
ced	ᎠᎦᎾᏬᏗᎭ	a¹ga²nawh²dị³ha	he's warming it
ced	ᎠᎦᎾᏬᏍᎦ	a¹ga²nạ²wo²sga	it's getting warmer
ced	ᎠᎦᏍᎦ	a¹ga²sga	it's raining
ced	ᎠᎦᏑᏰᏓ	ạ²ga¹su²ye⁴da	a person who has been chosen
ced	ᎠᎦᏯᎷᏗ	ạ²ga²yạ²lu³di	seine
ced	ᎠᎦᏴᎵ	ạ²gạ²yv⁴li	old (animate)
ced	ᎠᎦᏴᎵᎨᎢ	ạ²gạ²yv²³lị³ge⁴ɂi	old woman
ced	ᎠᎨ	a³ge⁴	over there
ced	ᎠᎨᏯ	ạ²ge²³hya	woman
ced	ᎠᎨᏳᏣ	ạ²ge²hyu⁴ja	girl
ced	ᎠᎩ-	agi-	first person, singular subject (see Gram. I, B)
ced	ᎠᎩᎠ	a¹gị³ɂa	he's eating it (a single solid food)
ced	ᎠᎩᎠ	a¹gi³ɂa	1. he's picking it up  2. he's getting it
ced	ᎠᎩᏟᏱ	ạ²gi²hli⁴yi	agony, pain
ced	ᎠᎩᏟᏲᎦ	a¹gi²hli²³yo³²ga	he's in agony, pain.
ced	ᎠᎩᎾ	ạ²gi⁴na	young animal (not born in litter or hatched).
ced	ᎠᎩᏍᏗ	ạ²gi¹sdi	something to eat (single solid).
ced	ᎠᎩᏍᏙᎠ	a¹gi³²sdọ²ɂa	he's chewing it
ced	ᎠᎩᏏ	ạ²gi²³si	female animal
ced	ᎠᎪᎲᏍᏗᎭ	a¹gọ³hṿ²sdị³ha	he's burning him, it
ced	ᎠᎪᎲᏍᎦ	a¹gọ³hṿ²sga	he, it's burning
ced	ᎠᎪᎳ	ạ²go²la	perch
ced	ᎠᎪᎵᏰᎠ	a¹go²li²³yẹ³ɂa	1. he's reading, 2. he's examining him, it
ced	ᎠᎪᎾ	ạ²go²na	famine
ced	ᎠᎪᏂᎭ	a³go²nị³ha	he's target practicing
ced	ᎠᎪᏍᏓᎩᏍᏗ	ạ²go³sdạ²gi³²sdi	lettuce
ced	ᎠᎪᏍᏗ	ạ²go⁴sdi	raw
ced	ᎠᎪᏩᏘᎭ	a¹gowh²tị³ha	he sees him, it
ced	ᎠᎪᏩᏛᏗ	ạ²gowh²³tvh²di	sight
ced	ᎠᎪᏩᏛᏗᎭ	a¹gowh²tvh²dị³ha	he's showing it to him
ced	ᎠᎫᏌ	Ạ²gu²³sa	Creek (Indian)
ced	ᎠᎬᏓᎨᏂ	ạ²gv²dạ²ge⁴ni	his forehead
ced	ᎠᎬᎭᎵᎭ	a¹gv²hạ²lị³ha	1. he's cutting it, 2. he's slicing it
ced	ᎠᎬᎭᎷᏯᏍᎦ	a¹gv²hạ³luy³²sga	he's chopping it up
ced	ᎠᎬᎭᎸᏓ	ạ²gv²hạ²lv⁴da	a piece of something that's been cut
ced	ᎠᎬᎿᎨᎢ	ạ²gv²³hnạ³ge⁴ɂi	Black person, Negro
ced	ᎠᎬᏍᎪᎸᏍᎦ	a¹gv²sgo²³lv³²sga	he's scolding him
ced	ᎠᎬᏍᏉᎠ	a¹gv²sgwo³ɂa	he's washing his face
ced		agw-	(see agi-) first person subject (see Gram. I, B)
ced	ᎠᎭᎳᏓ	ạ²hạ²la⁴da	loudmouth
ced	ᎠᎭᎷᎩᎭ	a¹hạ²lu²³gị³ɂha	1.  he's diverting him, it, 2. he's flagging him, it down
ced	ᎠᎭᏂ, ᎠᏂ	ạ³hạ²ni, ạ³hni	here
ced	ᎠᎭᏫ, ᎠᏫ	ạ²hạ²wi, ạ²hwi	deer
ced	ᎠᎭᏬᏍᏗᎭ	a¹hạ²wo³sdị²ha	he's smothering him, it
ced	ᎠᎯᏓ	ạ²hi⁴da	easy
ced	ᎠᎯᏙᎭ	a¹hi²³do³²ha	he's handling it, he has it in his hand
ced	ᎠᎯᎭ	a¹hị³ha	he's killing him, it
ced	ᎠᎯᎴᎭ	a¹hịɂ³le²ha	he has possession of a vehicle
ced	ᎠᎯᎵ	a¹hịɂ³li	he's driving it (vehicle in motion or animal)
ced	ᎠᎯᎸᏍᏗᎢ	ạ²hịɂ²lv¹sdi⁴ɂi	steering wheel
ced	ᎠᎯᏯᎠ	a¹hi²yạ³ɂa	he's leaving it behind
ced	ᎠᏝᎲᏍᎦ	a¹hlạ²hṿ³sga	he's placing it on something
ced	ᎠᏝᏫᏗᎭ	a¹hlạ²wi²dị³ha	he's taking off flying, its flying away
ced	ᎠᏝᏫᏗᏍᎩ	ạ²hlạ²wi²di⁴sgi	something that flies away
ced	ᎠᏝᏫᏘᏗᎭ	a¹hlạ²wi²tdị³ha	he's making him, it fly
ced	ᎠᏝᏫᏘᏗᏍᎩ	ạ²hlạ²wi²tdi⁴sgi	person who makes it fly
ced	ᎠᏟᎩᎠ	a¹hlị²gi³ɂa	he's having a nightmare
ced	ᎠᏟᎢᎵᏙᎭ	a¹hlị³ɂị²li²³do³²ha	its taking time
ced	ᎠᏟᎶᎠ	a¹hli²lo³ɂa	he's measuring it
ced	ᎠᏟᎶᏍᏗ	ạ²hli²lo⁴sdi	ruler
ced	ᎠᏟᏴᏈᏛᏍᎦ	a¹hlị²yvhgwidvsga	it's bending
ced	ᎠᏟᏴᏌᎾᏩᏍᏗᎭ	a¹hlị²yv²³sạ³naw¹sdị³ha	he's snorting
ced	ᎠᎵᏣᏙᎲᏍᎦ	ahl¹jạ²do²³hṿ³sga	he's preaching
ced	ᎠᎵᏣᏙᎲᏍᎩ	ahl²jạ²do⁴hṿ²sgi	preacher
ced	ᎠᎵᎪᏛᏍᎦ	ahl¹ko²dv²sga	it's shattering
ced	ᎠᎵᎪᏛᏗᎭ	ahl¹ko²tdị³ha	he's shattering it
ced	ᎠᏠᏗ	ạ³hloh²di	phonograph record
ced	ᎠᏠᏍᎦ	a¹hlo²sga	he's beating him at a game
ced	ᎠᎵᏔᏬᎠ	ahl¹tạ²wo³ɂa	he's combing his hair
ced	ᎠᎵᏔᏬᏍᏗ	ahl²tạ²wo³sdi	comb
ced	ᎠᎵᏖᎸᎲᏍᎦ	ahl¹te³lv²hṿ³sga	he, it's moving (without changing location)
ced	ᎠᎿᏩᎢᏴᎠ	a¹hnạ²wạ³ɂi²yv³ɂa	he's changing his shirt
ced	ᎠᎿᏪᎠ	a¹hnạ²we³ɂa	he's taking his shirt, coat off
ced	ᎠᎿᏬ	ạ²hnạ²wo	shirt
ced	ᎠᎿᏬᎠ	a¹hnạ²wo³ɂa	he's putting on a shirt
ced	ᎠᏁᎭ	a¹hnẹ²ha	he's giving it to him
ced	ᎠᏁᎯᎭ	a³hne²³hị³ha	he's wrestling
ced	ᎠᏁᏟᏗᎭ	a¹hnehl³dị²ha	he's interpreting, translating it
ced	ᎠᏁᏟᏔᏅᎢ	a²hnehl³tanvɂi	interpretation, translation
ced	ᎠᏁᏦᏍᎦ	a¹hne²jọ³sga	he's frolicking
ced	ᎠᏁᏍᎨᎭ	a¹hne³sgẹ²ha	he's building a house
ced	ᎠᏂᎩᎠ	a¹hnị²gị³ɂa	1. he's leaving  2. it's starting
ced	ᎠᏂᎩᏍᏗᎭ	a¹hnị²gi³²sdị²ha	he's starting it
ced	ᎠᏃᏟᏁᎦ	a¹hnọ²hli²³ne³²ga	he's carrying a long object on his shoulder
