ᎤᎭ|ù:ha|u¹ha|He has something solid|uu1ha
ᎦᏓ|gadā|gạ²da²|I recently said|ga2da2
ᏓᏋᏲᎢ|dà:gwù:wǎ:yóɂi|da¹gwu¹wa²³yọ³ɂi|I usually have rod shaped things|daa1gwuu1waa23yo3-i
ᏦᎩᏰᏍᏗ|jò:gi:hyè:sdi|jo¹gi²hye¹sdi|For them and me to eat flexible things|joo1gii2hyee1sdi
ᏫᏗᏍᏗᎦ|widisdǐ:ga|wị²dị²sdi²³ga|Let him eat rod shaped things|wi2di2sdii23ga
ᏦᎵᎦ|johlgā|johl²ga²|He recently recognized you (1)|johl2ga2
ᎨᎪᎵᎪᎢ|ge:go:li:gó:ɂi|ge²go²li²go³ɂi|They are often recognized|gee2goo2lii2goo3-i
ᏦᎦᏓᏚᎸᏗ|jò:gadaduhldi|jo¹gạ²dạ²duhl²di|For them and me to want each other|joo1ga2da2duhl2di
ᏕᎦᏓᏙᎵᏨᎢ|dé:gada:dohljv̌:ɂi|de³gạ²da²dohl²jv²³ɂi|All of us were acquainted a while ago|dee3ga2daa2dohl2jvv23-i
ᏕᎦᏚᎦ|de:gaɂdǔ:gā|de²gạɂ²du²³ga²|I recently drank alcoholic drinks|dee2ga-2duu23ga2
ᏗᏓᏓᎦᏙᏍᏓ|didadaktǒ:sda|dị²dạ²dạ²kto²³sda|Let all of us look at each other|di2da2da2ktoo23sda
ᎠᏋᏌ|à:gwv̋:sa|a¹gwv⁴sa|I alone|aa1gwvv4sa
ᏚᎲᎢ|du:hv̌:ɂi|du²hv²³ɂi|He had solid things a while ago|duu2hvv23-i
ᏕᏨᏲᎢ|de:jù:wǎ:yóɂi|de²ju¹wa²³yọ³ɂi|You (1) usually have rod shaped things|dee2juu1waa23yo3-i
ᏧᏂᏰᏍᏗ|jù:ni:hyè:sdi|ju¹ni²hye¹sdi|For them to eat flexible things|juu1nii2hyee1sdi
ᏓᎾᏚᎦ|dà:natǔ:gā|da¹nạ²tu²³ga²|They recently drank alcoholic drinks|daa1na2tuu23ga2
ᏧᎾᏓᏚᎸᏗ|jù:nadaduhldi|ju¹nạ²dạ²duhl²di|For them to want each other|juu1na2da2duhl2di
ᏙᎦᏓᏙᎵᏨᎢ|dò:gada:dohljv̌:ɂi|do¹gạ²da²dohl²jv²³ɂi|They and I were acquainted a while ago|doo1ga2daa2dohl2jvv23-i
ᏫᏦᏣᏓᎦᏙᏍᏓ|wijò:jadaktǒ:sda|wị²jo¹jạ²dạ²kto²³sda|Let them and me look at each other|wi2joo1ja2da2ktoo23sda
ᏕᎩᎰᎢ|dé:gi:hó:ɂi|de³gi²ho³ɂi|All of us usually have solid things|dee3gii2hoo3-i
ᏦᎩᏂᏰᏍᏗ|jò:gini:hyè:sdi|jo¹gị²ni²hye¹sdi|For him and me to eat flexible things|joo1gi2nii2hyee1sdi
ᏕᎾᏚᎦ|dé:natǔ:gā|de³nạ²tu²³ga²|You (1) and I recently drank alcoholic drinks|dee3na2tuu23ga2
