ᎤᎭ|ù:ha||u¹ha|He has something solid|uu1ha
ᏣᏛᏅᎢ|jadv:hnv̌:ɂi||jạ²dv²hnv²³ɂi|You said a while ago|ja2dvv2hnvv23-i
ᏫᎦᏚᎩ|wigaɂdǔ:gi||wị²gạɂ²du²³gi|Let me drink something alcoholic|wi2ga-2duu23gi
ᎤᎾᏛᏅᎢ|ù:nadv:hnv̌:ɂi||u¹nạ²dv²hnv²³ɂi|They said a while ago|uu1na2dvv2hnvv23-i
ᎭᏗᏍᎪᎢ|hadǐ:sgó:ɂi||hạ²di²³sgo³ɂi|You are often saying|ha2dii23sgoo3-i
ᏕᎫᏗᏔᎲᎢ|dé:gù:di:tahv̌:ɂi||de³gu¹di²tạ²hv²³ɂi|All of us drank drinks a while ago|dee3guu1dii2ta2hvv23-i
ᏙᎫᏗᏔᎲᎢ|dò:gù:di:tahv̌:ɂi||do¹gu¹di²tạ²hv²³ɂi|They and I drank drinks a while ago|doo1guu1dii2ta2hvv23-i
ᏚᏄᏗᏔᎲᎢ|dù:nù:di:tahv̌:ɂi||du¹nu¹di²tạ²hv²³ɂi|They drank drinks a while ago|duu1nuu1dii2ta2hvv23-i
ᏕᎩᏄᏗᏔᎲᎢ|de:ginù:di:tahv̌:ɂi||de²gị²nu¹di²tạ²hv²³ɂi|You and I drank drinks a while ago|dee2gi2nuu1dii2ta2hvv23-i
ᏙᎩᏄᏗᏔᎲᎢ|dò:ginù:di:tahv̌:ɂi||do¹gị²nu¹di²tạ²hv²³ɂi|He and I drank drinks a while ago|doo1gi2nuu1dii2ta2hvv23-i
ᎠᏃᎵᎪᎢ|à:nohlgó:ɂi||a¹nohl²go³ɂi|They usually understand it; They usually recognize him|aa1nohl2goo3-i
ᎢᏃᎵᎪᎢ|ì:nohlgó:ɂi||i¹nohl²go³ɂi|You and I usually understand it|ii1nohl2goo3-i
ᎢᏙᎵᎪᎢ|ì:dohlgó:ɂi||i¹dohl²go³ɂi|All of us usually understand it|ii1dohl2goo3-i
ᎤᏬᎵᏍᏗ|ù:wo:hlísdi||u¹wo²hlị³sdi|For him to understand it; For him to recognize him|uu1woo2hli3sdi
ᎩᏂᏥ|gini:ji||gị²ni²ji|Your one's and my mother|gi2nii2ji
ᎤᎾᏘᏗ|ù:natdi||u¹nạt²di|For them to say it|uu1nat2di
ᏚᏅᏙɂᎢ|du:nhtó:ɂi||du²nhto³ɂi|He usually knows things|duu2nhtoo3-i
ᏕᏣᏅᏖᏍᏗ|de:janhté:sdi||de²jạ²nhte³sdi|You will be knowing things|dee2ja2nhtee3sdi
ᎩᎾᏛᏅᎢ|ginadv:hnv̌:ɂi||gị²nạ²dv²hnv²³ɂi|You and I said a while ago|gi2na2dvv2hnvv23-i
ᎤᏅᏔ|u:nhta||u²nhta|He knows something|uu2nhta
ᏙᎩᏲᏏᏌ|dò:gi:yò:sǐ:sā||do¹gi²yo¹si²³sa²|They and I were recently hungry|doo1gii2yoo1sii23sa2
ᏙᎩᏂᏲᏏᏌ|dò:gini:yò:sǐ:sā||do¹gị²ni²yo¹si²³sa²|He and I were recently hungry|doo1gi2nii2yoo1sii23sa2
ᏍᎩᏥ|sgiji||sgị²ji|You one, my mother|sgi2ji
ᏚᏅᏛɂᎢ|du:nhtv̌:ɂi||du²nhtv²³ɂi|He knew things a while ago|duu2nhtvv23-i
ᎩᎾᏘᏗ|ginatdi||gị²nạt²di|For you and me to say it|gi2nat2di
ᏓᏆᏅᏖᏍᏗ|dà:gwanhté:sdi||da¹gwạ²nhte³sdi|I will be knowing things|daa1gwa2nhtee3sdi
ᎤᏛᏅᎢ|u:dv:hnv̌:ɂi||u²dv²hnv²³ɂi|He said a while ago|uu2dvv2hnvv23-i
ᏕᎩᏲᏏᏌ|dé:gi:yò:sǐ:sā||de³gi²yo¹si²³sa²|All of us were recently hungry|dee3gii2yoo1sii23sa2
ᏩᎭᏗᏔ|wa:dǐ:ta||wa²di²³ta|Let him drink something|waa2dii23ta
ᏬᏥᏍᏗᎦ|wò:ji:sdǐ:ga||wo¹ji²sdi²³ga|Let them and me eat something rod shaped|woo1jii2sdii23ga
ᏬᏍᏗᏍᏗᎦ|wò:sdi:sdǐ:ga||wo¹sdi²sdi²³ga|Let him and me eat something rod shaped|woo1sdii2sdii23ga
ᏕᎦᎦᏙᏍᏔᏅᎢ|dé:gà:ktǒ:stánv̌:ɂi||de³ga¹kto²³stạ³nv²³ɂi|All of us looked at them (inanimate) a while ago|dee3gaa1ktoo23sta3nvv23-i
ᏙᎦᎦᏙᏍᏔᏅᎢ|dò:gà:ktǒ:stánv̌:ɂi||do¹ga¹kto²³stạ³nv²³ɂi|They and I looked at them (inanimate) a while ago|doo1gaa1ktoo23sta3nvv23-i
ᏚᎾᎦᏙᏍᏔᏅᎢ|dù:nà:ktǒ:stánv̌:ɂi||du¹na¹kto²³stạ³nv²³ɂi|They looked at them a while ago|duu1naa1ktoo23sta3nvv23-i
ᏕᎩᎾᎦᏙᏍᏔᏅᎢ|de:ginà:ktǒ:stánv̌:ɂi||de²gị²na¹kto²³stạ³nv²³ɂi|You and I looked at them (inanimate) a while ago|dee2gi2naa1ktoo23sta3nvv23-i
ᏙᎩᎾᎦᏙᏍᏔᏅᎢ|dò:ginà:ktǒ:stánv̌:ɂi||do¹gị²na¹kto²³stạ³nv²³ɂi|He and I looked at them (inanimate) a while ago|doo1gi2naa1ktoo23sta3nvv23-i
ᏍᏗᎪᎲᎢ|sdi:go:hv̌:ɂi||sdi²go²hv²³ɂi|He saw you both a while ago; You both saw it a while ago|sdii2goo2hvv23-i
ᏍᏗᏙᏓ|sdi:do:da||sdi²do²da|Your two's father|sdii2doo2da
ᏣᏘᏗ|jatdi||jạt²di|For you to say it|jat2di
ᏗᎩᏲᏏᏌ|dì:gi:yò:sǐ:sa||di¹gi²yo¹si²³sa|Let all of us be hungry|dii1gii2yoo1sii23sa
ᏓᏆᏅᏙɂᎢ|dà:gwanhtó:ɂi||da¹gwạ²nhto³ɂi|I usually know things|daa1gwa2nhtoo3-i
ꮪꮹᏟᏌᏅᎢ|du:wá:hli:sahnv̌:ɂi||du²wa³hli²sạ²hnv²³ɂi|He gathered things a while ago|duu2waa3hlii2sa2hnvv23-i
ᏕᏥᏍᏗᎬᎢ|dé:jì:sdí:gv̌:ɂi||de³ji¹sdi³gv²³ɂi|You all ate rod shaped things a while ago|dee3jii1sdii3gvv23-i
ᏕᏍᏗᏍᏗᎬᎢ|de:sdì:sdí:gv̌:ɂi||de²sdi¹sdi³gv²³ɂi|You both ate rod shaped things a while ago|dee2sdii1sdii3gvv23-i
ᏍᏗᎪᏩᏔ|sdi:gò:wahta||sdi²go¹wah²ta|Let you both see it|sdii2goo1wah2ta
ᎢᏥᎪᎲᎢ|ì:ji:go:hv̌:ɂi||i¹ji²go²hv²³ɂi|He saw you all a while ago; You all saw it a while ago|ii1jii2goo2hvv23-i
ᏍᏛᏙᏓ|sdv:do:da||sdv²do²da|I, your two's father|sdvv2doo2da
ᎦᏚᎩᏍᎪᎢ|gaɂdǔ:gî:sgó:ɂi||gạɂ²du²³gi³²sgo³ɂi|I am usually drinking something alcoholic|ga-2duu23gii32sgoo3-i
ᏓᏆᏅᏛɂᎢ|dà:gwanhtv̌:ɂi||da¹gwạ²nhtv²³ɂi|I knew things a while ago|daa1gwa2nhtvv23-i
ꮪꮹᎧᎮᏍᏗ|du:wa:kahé:sdi||du²wa²kạ²he³sdi|He will be having living things|duu2waa2ka2hee3sdi
ᎩᏂᎧᎰᎢ|gini:kahó:ɂi||gị²ni²kạ²ho³ɂi|You and I usually have something alive|gi2nii2ka2hoo3-i
ᏦᎵᏨᎢ|johljv̌:ɂi||johl²jv²³ɂi|You understood it a while ago; He recognized you a while ago|johl2jvv23-i
ᏬᎪᎵᎩ|wò:gohlgi||wo¹gohl²gi|Let him recognize them and me; Let them and me be recognized|woo1gohl2gi
ᏬᎩᏃᎵᎩ|wò:ginohlgi||wo¹gị²nohl²gi|Let him recognize him and me; Let him and me be recognized|woo1gi2nohl2gi
ᏣᏙᏓ|jado:da||jạ²do²da|xHe, your one's father|ja2doo2da
ᏥᏔᏕᎬᎦ|jitade:gv̀:gā||jị²tạ²de²gv¹ga²|I was recently thirsty|ji2ta2dee2gvv1ga2
ᎤᏘᏗ|utdi||ut²di|For him to say it|uut2di
ᎠᏆᏛᏅᎢ|à:gwadv:hnv̌:ɂi||a¹gwạ²dv²hnv²³ɂi|I said a while ago|aa1gwa2dvv2hnvv23-i
ᎣᎦᏛᏅᎢ|ò:gadv:hnv̌:ɂi||o¹gạ²dv²hnv²³ɂi|They and I said a while ago|oo1ga2dvv2hnvv23-i
ᎣᎩᎾᏛᏅᎢ|ò:ginadv:hnv̌:ɂi||o¹gị²nạ²dv²hnv²³ɂi|He and I said a while ago|oo1gi2na2dvv2hnvv23-i
ᎤᏂᎾᎣᎢ|ù:ni:náó:ɂi||u¹ni²nạ³o³ɂi|They usually have something flexible|uu1nii2na3oo3-i
ᎯᎭᏗᏔ|ha:dǐ:ta||ha²di²³ta|Let you drink something|haa2dii23ta
ᎩᏂᎧᎲᎢ|gini:kahv̌:ɂi||gị²ni²kạ²hv²³ɂi|You and I had something alive a while ago|gi2nii2ka2hvv23-i
ᏍᏗᎮᏍᏗ|sdi:hé:sdi||sdi²he³sdi|You both will be having something solid|sdii2hee3sdi
ᏕᏦᎵᏨᎢ|dé:johljv̌:ɂi||de³johl²jv²³ɂi|You all understood things a while ago|dee3johl2jvv23-i
ᏕᏍᏙᎵᏨᎢ|de:sdohljv̌:ɂi||de²sdohl²jv²³ɂi|You both understood things a while ago|dee2sdohl2jvv23-i
ᏧᎵᎢ|ju:liɂi||ju²lị²ɂi|His friends|juu2li2-i
ᎠᏆᏘᏗ|à:gwatdi||a¹gwạt²di|For me to say it|aa1gwat2di
ᎣᎦᏘᏗ|ò:gatdi||o¹gạt²di|For them and me to say it|oo1gat2di
ᎣᎩᎾᏘᏗ|ò:ginatdi||o¹gị²nạt²di|For him and me to say it|oo1gi2nat2di
ᏍᏗᎸᏒᎢ|sdi:lv̂:sv̌:ɂi||sdi²lv³²sv²³ɂi|You both climbed it a while ago|sdii2lvv32svv23-i
ᎠᏂᏍᏗᎩᎠ|à:nì:sdǐ:gíɂa||a¹ni¹sdi²³gị³ɂa|They are eating something rod shaped|aa1nii1sdii23gi3-a
ᎤᏗᏔᏍᏗ|u:di:tasdi||u²di²tạ²sdi|For him to drink something|uu2dii2ta2sdi
ᎢᏂᏍᏗᎩᎠ|ì:nì:sdǐ:gíɂa||i¹ni¹sdi²³gị³ɂa|You and I are eating something rod shaped|ii1nii1sdii23gi3-a
ᎯᎭᏗᏔ|ha:dǐ:tā||ha²di²³ta²|You recently drank something|haa2dii23ta2
ᎢᏗᏍᏗᎩᎠ|ì:dì:sdǐ:gíɂa||i¹di¹sdi²³gị³ɂa|All of us are eating something rod shaped|ii1dii1sdii23gi3-a
ᎩᏂᎾᎣᎢ|gini:náó:ɂi||gị²ni²nạ³o³ɂi|You and I usually have something flexible|gi2nii2na3oo3-i
ᎢᏥᎮᏍᏗ|ì:ji:hé:sdi||i¹ji²he³sdi|You all will be having something solid|ii1jii2hee3sdi
ᏍᎩᎾᎦᏙᏍᏙᏗ|sginagà:tǒ:sdóhdi||sgị²nạ²ga¹to²³sdoh³di|For you or you both to look at us both|sgi2na2gaa1too23sdoh3di
ᏫᎪᎵᎩ|wì:gohlgi||wi¹gohl²gi|Let him recognize all of us|wii1gohl2gi
ᎠᎩᏥ|agiji||ạ²gị²ji|xShe, my mother|a2gi2ji
ᎢᎦᏛᏅᎢ|ì:gadv:hnv̌:ɂi||i¹gạ²dv²hnv²³ɂi|All of us said a while ago|ii1ga2dvv2hnvv23-i
ᏍᏗᎸᏍᏗ|sdi:lv̀:sdi||sdi²lv¹sdi|For you both to climb it|sdii2lvv1sdi
ᎢᏥᎸᏒᎢ|ì:ji:lv̂:sv̌:ɂi||i¹ji²lv³²sv²³ɂi|You all climbed it a while ago|ii1jii2lvv32svv23-i
ᎠᏂᎭᏗᏔ|à:na:dǐ:tā||a¹na²di²³ta²|They recently drank something|aa1naa2dii23ta2
ᏣᎧᎰᎢ|jakahó:ɂi||jạ²kạ²ho³ɂi|You usually have something alive|ja2ka2hoo3-i
ᎢᏂᎭᏗᏔ|ì:na:dǐ:ta||i¹na²di²³ta|Let you and me drink something|ii1naa2dii23ta
ᎩᏂᎾᎥᎢ|gini:náv̌:ɂi||gị²ni²nạ³v²³ɂi|You and I had something flexible a while ago|gi2nii2na3vv23-i
ᎢᏗᎭᏗᏔ|ì:da:dǐ:ta||i¹da²di²³ta|Let all of us drink something|ii1daa2dii23ta
ᎢᎦᎵᎢ|ì:ga:liɂi||i¹ga²lị²ɂi|You one and I, our friend; You two and I, our friend; You all and I, our friend; You all and I, friends; You all, my friends|ii1gaa2li2-i
ᎠᏔᏕᎬᎦ|atade:gv̀:gā||ạ²tạ²de²gv¹ga²|He was recently thirsty|a2ta2dee2gvv1ga2
ᏓᏂᏔᏕᎬᎦ|dà:ni:tade:gv̀:gā||da¹ni²tạ²de²gv¹ga²|They were recently thirsty|daa1nii2ta2dee2gvv1ga2
ᎢᎦᏘᏗ|ì:gatdi||i¹gạt²di|For all of us to say it|ii1gat2di
ᎢᏥᎸᏍᏗ|ì:ji:lv̀:sdi||i¹ji²lv¹sdi|For you all to climb it|ii1jii2lvv1sdi
ᎤᏂᏍᏗᎬᎢ|ù:nì:sdí:gv̌:ɂi||u¹ni¹sdi³gv²³ɂi|They ate something rod shaped a while ago|uu1nii1sdii3gvv23-i
ᎩᏂᏁᎮᏍᏗ|gini:ne:hé:sdi||gị²ni²ne²he³sdi|You and I will be having a liquid|gi2nii2nee2hee3sdi
ᏣᎧᎲᎢ|jakahv̌:ɂi||jạ²kạ²hv²³ɂi|You had something alive a while ago|ja2ka2hvv23-i
ᎢᏂᎭᏗᏔ|ì:na:dǐ:tā||i¹na²di²³ta²|You and I recently drank something|ii1naa2dii23ta2
ᎢᏗᎭᏗᏔ|ì:da:dǐ:tā||i¹da²di²³ta²|All of us recently drank something|ii1daa2dii23ta2
ᏍᏗᎾᎠ|sdi:náɂa||sdi²nạ³ɂa|You both have something flexible|sdii2na3-a
ᎢᏍᎩᏙᏓ|ì:sgi:do:da||i¹sgi²do²da|You one, their and my father|ii1sgii2doo2da
ᏕᏂᏔᏕᎬᎦ|dé:ni:tade:gv̀:gā||de³ni²tạ²de²gv¹ga²|You and I were recently thirsty|dee3nii2ta2dee2gvv1ga2
ᏕᏗᏔᏕᎬᎦ|dé:di:tade:gv̀:gā||de³di²tạ²de²gv¹ga²|All of us were recently thirsty|dee3dii2ta2dee2gvv1ga2
ᎩᏂᏍᏗᎬᎢ|ginì:sdí:gv̌:ɂi||gị²ni¹sdi³gv²³ɂi|You and I ate something rod shaped a while ago|gi2nii1sdii3gvv23-i
ᏣᎾᎣᎢ|janáó:ɂi||jạ²nạ³o³ɂi|You usually have something flexible|ja2na3oo3-i
ᏩᏂᎭᏗᏔ|wà:na:dǐ:ta||wa¹na²di²³ta|Let them drink something|waa1naa2dii23ta
ᏍᏗᏁᎰᎢ|sdi:ne:hó:ɂi||sdi²ne²ho³ɂi|You both usually have a liquid|sdii2nee2hoo3-i
ᎢᏥᎾᎠ|ì:ji:náɂa||i¹ji²nạ³ɂa|You all have something flexible|ii1jii2na3-a
ᎢᏣᎵᎢ|ì:ja:liɂi||i¹ja²lị²ɂi|You two, your friend; You all, your friend; You all, friends|ii1jaa2li2-i
ᏗᏂᏔᏕᎬᎦ|dì:ni:tade:gv̀:ga||di¹ni²tạ²de²gv¹ga|Let you and me be thirsty|dii1nii2ta2dee2gvv1ga
ᏫᏥᏯᎦ|wijiyaga||wị²jị²yạ²ga|Let me eat something flexible|wi2ji2ya2ga
ᏗᏗᏔᏕᎬᎦ|dì:di:tade:gv̀:ga||di¹di²tạ²de²gv¹ga|Let all of us be thirsty|dii1dii2ta2dee2gvv1ga
ᏕᏣᏚᎩᏒᎢ|dé:jàtǔ:gî:sv̌:ɂi||de³jạ¹tu²³gi³²sv²³ɂi|You all drank alcoholic drinks a while ago|dee3ja1tuu23gii32svv23-i
ᏕᏍᏓᏚᎩᏒᎢ|de:sdàtǔ:gî:sv̌:ɂi||de²sdạ¹tu²³gi³²sv²³ɂi|You both drank alcoholic drinks a while ago|dee2sda1tuu23gii32svv23-i
ᏣᎾᎥᎢ|janáv̌:ɂi||jạ²nạ³v²³ɂi|You had something flexible a while ago|ja2na3vv23-i
ᎣᎩᎾᎣᎢ|ò:gi:náó:ɂi||o¹gi²nạ³o³ɂi|They and I usually have something flexible|oo1gii2na3oo3-i
ᎣᎩᏂᎾᎣᎢ|ò:gini:náó:ɂi||o¹gị²ni²nạ³o³ɂi|He and I usually have something flexible|oo1gi2nii2na3oo3-i
ᎢᏥᏁᎰᎢ|ì:ji:ne:hó:ɂi||i¹ji²ne²ho³ɂi|You all usually have a liquid|ii1jii2nee2hoo3-i
ᏍᎩᎾᎦᏙᏍᏔᏅᎢ|sginà:gà:tǒ:stánv̌:ɂi||sgị²na¹ga¹to²³stạ³nv²³ɂi|You or you both looked at us both a while ago|sgi2naa1gaa1too23sta3nvv23-i
ᎤᏃᎵᏨᎢ|ù:nohljv̌:ɂi||u¹nohl²jv²³ɂi|They understood it a while ago; They recognized him a while ago|uu1nohl2jvv23-i
ᎤᎪᏩᏛᏗ|ù:gowhtv́hdi||u¹gowh²tvh³di|For him to see him; For him to see it|uu1gowh2tvh3di
ᎣᎩᏂᏥ|o:gini:ji||o²gị²ni²ji|His and my mother|oo2gi2nii2ji
ᎠᎩᏲᏏᎭ|à:giyó:siha||a¹gị²yo³sị²ha|I am hungry|aa1gi2yoo3si2ha
ᎯᏔᏕᎬᎦ|hitade:gv̀:ga||hị²tạ²de²gv¹ga|Let you be thirsty|hi2ta2dee2gvv1ga
ᏕᏣᏚᎩᎠ|dé:jàtǔ:gía||de³jạ¹tu²³gị³a|You all are drinking alcoholic drinks|dee3ja1tuu23gi3a
ᏣᏁᎮᏍᏗ|jane:hé:sdi||jạ²ne²he³sdi|You will be having a liquid|ja2nee2hee3sdi
ᎣᎦᎵᎢ|ò:ga:liɂi||o¹ga²lị²ɂi|He and I, our friend; They and I, our friend; They and I, friends; They, my friends|oo1gaa2li2-i
ᏚᏂᏲᏏᎭ|dù:ni:yó:siha||du¹ni²yo³sị²ha|They are hungry|duu1nii2yoo3si2ha
ᎯᏔᏕᎬᎦ|hitade:gv̀:gā||hị²tạ²de²gv¹ga²|You were recently thirsty|hi2ta2dee2gvv1ga2
ᎤᏍᏗᎩᏍᏗ|ù:sdǐ:gî:sdi||u¹sdi²³gi³²sdi|For him to eat something rod shaped|uu1sdii23gii32sdi
ᎢᎩᎾᎣᎢ|ì:gi:náó:ɂi||i¹gi²nạ³o³ɂi|All of us usually have something flexible|ii1gii2na3oo3-i
ᏍᏗᏍᏗᎦ|sdi:sdǐ:ga||sdi²sdi²³ga|Let you both eat something rod shaped|sdii2sdii23ga
ᎩᏃᎵᏨᎢ|ginohljv̌:ɂi||gị²nohl²jv²³ɂi|You and I understood it a while ago; He recognized you and me a while ago|gi2nohl2jvv23-i
ᎤᎾᎵᎢ|ù:na:liɂi||u¹na²lị²ɂi|His friend; Their friend; They, friends|uu1naa2li2-i
ᎤᏔᏕᎪᏗ|ù:tadě:gô:di||u¹tạ²de²³go³²di|For him to be thirsty|uu1ta2dee23goo32di
ᏥᎠᏗᏍᎪᎢ|jigà:tahó:ɂi||jị²ga¹tạ²ho³ɂi|I usually know how|ji2gaa1ta2hoo3-i
ᏩᏔᏕᎬᎦ|watade:gv̀:ga||wạ²tạ²de²gv¹ga|Let him be thirsty|wa2ta2dee2gvv1ga
ᏕᎩᏂᏲᏏᏌ|de:gini:yò:sǐ:sā||de²gị²ni²yo¹si²³sa²|You and I were recently hungry|dee2gi2nii2yoo1sii23sa2
ᎣᎩᏍᏗᎬᎢ|ò:gì:sdí:gv̌:ɂi||o¹gi¹sdi³gv²³ɂi|They and I ate something rod shaped a while ago|oo1gii1sdii3gvv23-i
ᎣᎩᏂᏍᏗᎬᎢ|ò:ginì:sdí:gv̌:ɂi||o¹gị²ni¹sdi³gv²³ɂi|He and I ate something rod shaped a while ago|oo1gi2nii1sdii3gvv23-i
ᎢᎩᎾᎥᎢ|ì:gi:náv̌:ɂi||i¹gi²nạ³v²³ɂi|All of us had something flexible a while ago|ii1gii2na3vv23-i
ᏍᏗᏍᏗᎦ|sdi:sdǐ:gā||sdi²sdi²³ga²|You both recently ate something rod shaped|sdii2sdii23ga2
ᎢᏥᏍᏗᎦ|ì:ji:sdǐ:ga||i¹ji²sdi²³ga|Let you all eat something rod shaped|ii1jii2sdii23ga
ᎠᏂᎪᏩᏘᎭ|à:ni:gowhtíha||a¹ni²gowh²tị³ha|They are seeing him; They are seeing it|aa1nii2gowh2ti3ha
ᎥᏍᎩᎾ|v̀:sgina||v¹sgị²na|That, Those; They, Them; He, Him|vv1sgi2na
ᎤᏔᏕᎩᎠ|ù:tade:gí:ɂa||u¹tạ²de²gi³ɂa|He is thirsty|uu1ta2dee2gii3-a
ᎣᏣᏗᏍᎪᎢ|ò:jadǐ:sgó:ɂi||o¹jạ²di²³sgo³ɂi|They and I are often saying|oo1ja2dii23sgoo3-i
ᎣᏍᏓᏗᏍᎪᎢ|ò:sdadǐ:sgó:ɂi||o¹sdạ²di²³sgo³ɂi|He and I are often saying|oo1sda2dii23sgoo3-i
ᏗᎩᏂᏁᏗ|digini:nehdi||dị²gị²ni²neh²di|For you and me to have a liquid|di2gi2nii2neh2di
ᎯᏍᏗᎩᎠ|hìsdǐ:gíɂa||hị¹sdi²³gị³ɂa|You are eating something rod shaped|hi1sdii23gi3-a
ᎢᏥᏍᏗᎦ|ì:ji:sdǐ:gā||i¹ji²sdi²³ga²|You all recently ate something rod shaped|ii1jii2sdii23ga2
ᏥᎪᏩᏘᎭ|jigowhtíha||jị²gowh²tị³ha|I am seeing it|ji2gowh2ti3ha
ᎦᏥᏙᏓ|gaji:do:da||gạ²ji²do²da|I, their father|ga2jii2doo2da
ᎢᎩᏍᏗᎬᎢ|ì:gì:sdí:gv̌:ɂi||i¹gi¹sdi³gv²³ɂi|All of us ate something rod shaped a while ago|ii1gii1sdii3gvv23-i
ᎠᎩᎾᎣᎢ|à:gináó:ɂi||a¹gị²nạ³o³ɂi|I usually have something flexible|aa1gi2na3oo3-i
ꭴꮹᏚᏅᎢ|ù:wá:du:hnv̌:ɂi||u¹wa³du²hnv²³ɂi|He baked something a while ago|uu1waa3duu2hnvv23-i
ᎯᎪᏩᏘᎭ|higowhtíha||hị²gowh²tị³ha|You are seeing it|hi2gowh2ti3ha
ᎢᏂᎪᏩᏘᎭ|ì:ni:gowhtíha||i¹ni²gowh²tị³ha|You and I are seeing it|ii1nii2gowh2ti3ha
ᎢᏗᎪᏩᏘᎭ|ì:di:gowhtíha||i¹di²gowh²tị³ha|All of us are seeing it|ii1dii2gowh2ti3ha
ᎩᏂᏙᏓ|gini:do:da||gị²ni²do²da|Your one's and my father|gi2nii2doo2da
ᎠᏍᏗᎩᏍᎪᎢ|àsdǐ:gî:sgó:ɂi||ạ¹sdi²³gi³²sgo³ɂi|He usually is eating something rod shaped|a1sdii23gii32sgoo3-i
ᎯᏚᎲᏍᎪᎢ|hídu:hvsgó:ɂi||hị³du²hṿ²sgo³ɂi|You are usually baking something|hi3duu2hv2sgoo3-i
ᏕᏥᏍᏗᎩᎠ|dé:jì:sdǐ:gíɂa||de³ji¹sdi²³gị³ɂa|You all are eating rod shaped things|dee3jii1sdii23gi3-a
ᏣᏍᏗᎬᎢ|jàsdí:gv̌:ɂi||jạ¹sdi³gv²³ɂi|You ate something rod shaped a while ago|ja1sdii3gvv23-i
ᎣᎪᎵᏨᎢ|ò:gohljv̌:ɂi||o¹gohl²jv²³ɂi|They and I understood it a while ago; He recognized them and me a while ago; They and I were recognized a while ago|oo1gohl2jvv23-i
ᏍᎩᏂᏥ|sgini:ji||sgị²ni²ji|You one, his and my mother|sgi2nii2ji
ᏙᎦᏅᏔ|dò:ganhta||do¹gạ²nhta|They and I know something; They and I know things|doo1ga2nhta
ᏥᏍᏗᎩᏍᎪᎢ|jìsdǐ:gî:sgó:ɂi||jị¹sdi²³gi³²sgo³ɂi|I am usually eating something rod shaped|ji1sdii23gii32sgoo3-i
ᏕᏥᎭᏗᏔ|dé:ja:dǐ:tā||de³ja²di²³ta²|You all recently drank drinks|dee3jaa2dii23ta2
ᏕᏍᏗᎭᏗᏔ|de:sda:dǐ:tā||de²sda²di²³ta²|You both recently drank drinks|dee2sdaa2dii23ta2
ᏍᎩᏙᏓ|sgido:da||sgị²do²da|You one, my father|sgi2doo2da
ᏙᎩᏲᏏᎭ|dò:gi:yó:siha||do¹gi²yo³sị²ha|They and I are hungry|doo1gii2yoo3si2ha
ᏙᎩᏂᏲᏏᎭ|dò:gini:yó:siha||do¹gị²ni²yo³sị²ha|He and I are hungry|doo1gi2nii2yoo3si2ha
ᏕᏧᏗᏔᎲᎢ|dé:jù:di:tahv̌:ɂi||de³ju¹di²tạ²hv²³ɂi|You all drank drinks a while ago|dee3juu1dii2ta2hvv23-i
ᏕᏍᏚᏗᏔᎲᎢ|de:sdù:di:tahv̌:ɂi||de²sdu¹di²tạ²hv²³ɂi|You both drank drinks a while ago|dee2sduu1dii2ta2hvv23-i
ᎯᏍᏗᎩᏍᎪᎢ|hìsdǐ:gî:sgó:ɂi||hị¹sdi²³gi³²sgo³ɂi|You usually are eating something rod shaped|hi1sdii23gii32sgoo3-i
ᎠᎩᏍᏗᎬᎢ|à:gìsdí:gv̌:ɂi||a¹gị¹sdi³gv²³ɂi|I ate something rod shaped a while ago|aa1gi1sdii3gvv23-i
ᎢᎪᎵᏨᎢ|ì:gohljv̌:ɂi||i¹gohl²jv²³ɂi|All of us understood it a while ago; He recognized all of us a while ago|ii1gohl2jvv23-i
ᏍᏓᎵᎢ|sda:liɂi||sda²lị²ɂi|You one, your friend; You two, friends|sdaa2li2-i
ᏫᏗᏂᏔᏕᎬᎦ|widìni:tade:gv̀:ga||wị²dị¹ni²tạ²de²gv¹ga|Let them be thirsty|wi2di1nii2ta2dee2gvv1ga
ᏧᏗᏔᏍᏗ|ja:di:tasdi||ja²di²tạ²sdi|For you to drink something|jaa2dii2ta2sdi
ᏫᎦᎭᏗᏔ|wiga:dǐ:ta||wị²ga²di²³ta|Let me drink something|wi2gaa2dii23ta
ᎤᏬᎵᏨᎢ|ù:wohljv̌:ɂi||u¹wohl²jv²³ɂi|He understood it a while ago; He recognized him a while ago|uu1wohl2jvv23-i
ᎣᏥᎪᏩᏛᏗ|ò:ji:gowhtv́hdi||o¹ji²gowh²tvh³di|For them and me to see him|oo1jii2gowh2tvh3di
ᎤᏂᎪᏩᏛᏗ|ù:ni:gowhtv́hdi||u¹ni²gowh²tvh³di|For them to see him; For them to see it|uu1nii2gowh2tvh3di
ᎣᏍᏗᎪᏩᏛᏗ|ò:sdi:gowhtv́hdi||o¹sdi²gowh²tvh³di|For him and me to see him|oo1sdii2gowh2tvh3di
ᏦᎦᎵᎢ|jò:ga:liɂi||jo¹ga²lị²ɂi|They and I, our friends|joo1gaa2li2-i
ᏫᏥᏔᏕᎬᎦ|wijitade:gv̀:ga||wị²jị²tạ²de²gv¹ga|Let me be thirsty|wi2ji2ta2dee2gvv1ga
ᏕᎩᏲᏏᎭ|dé:gi:yó:siha||de³gi²yo³sị²ha|All of us are hungry|dee3gii2yoo3si2ha
