ᎤᎭ|ù:ha||u¹ha|He has something solid|uu1ha
ᏕᏂᎭᏗᏔ|dé:na:dǐ:tā||de³na²di²³ta²|You and I recently drank drinks|dee3naa2dii23ta2
ᎪᏍᏓᎦᏙᏍᏙᏗ|go:sdagà:tǒ:sdóhdi||go²sdạ²ga¹to²³sdoh³di|For him and me to look at them (animate)|goo2sda2gaa1too23sdoh3di
ᏕᏗᎭᏗᏔ|dé:da:dǐ:tā||de³da²di²³ta²|All of us recently drank drinks|dee3daa2dii23ta2
ᏍᏗᎷᎦ|sdi:lù:ga||sdi²lu¹ga|Let you both climb it|sdii2luu1ga
ᎣᏤᎪᎢ|ò:jé:góɂi||o¹je³gọ³ɂi|They and I usually are going|oo1jee3go3-i
ᏙᏥᎭᏗᏔ|dò:ja:dǐ:tā||do¹ja²di²³ta²|They and I recently drank drinks|doo1jaa2dii23ta2
ᎢᏥᎷᎦ|ì:ji:lù:ga||i¹ji²lu¹ga|Let you all climb it|ii1jii2luu1ga
ᎣᏍᏕᎪᎢ|ò:sdé:góɂi||o¹sde³gọ³ɂi|He and I usually are going|oo1sdee3go3-i
ᏕᎦᏟᏏᎭ|de:gáhli:síha||de²gạ³hli²sị³ha|He is gathering things|dee2ga3hlii2si3ha
ᏙᏍᏗᎭᏗᏔ|dò:sda:dǐ:tā||do¹sda²di²³ta²|He and I recently drank drinks|doo1sdaa2dii23ta2
ᎤᏩᏌ|uwa̋:sa||ụ²wa⁴sa|He alone|uu2waa4sa
ᏕᏥᏁᎭ|dé:ji:néha||de³ji²nẹ³ha|You all have liquid things|dee3jii2ne3ha
ᏗᏍᏗᏍᏗᎩᏍᏗ|disdi:sdǐ:gî:sdi||dị²sdi²sdi²³gi³²sdi|For you both to eat rod shaped things|di2sdii2sdii23gii32sdi
ᎢᏂᏍᏗᎦ|ì:ni:sdǐ:ga||i¹ni²sdi²³ga|Let you and me eat something rod shaped|ii1nii2sdii23ga
