	#MULTI-FORMS								
vta, de	Ꮪ¹Ꮒ²-	Du¹ni²-	They	them (animate)	b	Ꮷ¹Ꮒ²-	ju¹ni²-		
vti, de	Ꮪ¹Ꮒ²-	Du¹ni²-	They	them (inanimate)	b	Ꮷ¹Ꮒ²-	ju¹ni²-	Their	
	#Object focus								
vta	Ꭵ¹Ꭹ̣²-, Ꭵ¹Ꮖ͓-	V¹gị²-, V¹gw-		I					
vta	Ꭱ¹Ꮳ̣²-, Ꭱ¹Ꮳ̣²-	E¹jạ²-, E¹jạ²-		You one					
vta, alt	Ꭰ¹Ꮵ̣²-, Ꭰ¹Ꭶ͓-	A¹jị²-, A¹g-		He					
vta	Ꭳ¹Ꭹ̣²Ꮒ²-	O¹gị²ni²-		He and I, we					
vta, alt	Ꭱ¹ᏍᏗ²-	E¹sdi²-		You two					
vta, alt	Ꭱ¹Ꭹ̣²Ꮒ²-	E¹gị²ni²-		You one and I, we					
vta	Ꭳ¹Ꭹ²-	O¹gi²-		They and I, we					
vta, alt	Ꭱ¹Ꮵ²-	E¹ji²-		You all					
vta, alt	Ꭱ¹Ꭹ²-	E¹gi²-		You all and I, we					
vta, alt	Ꭸ²Ꮵ²-, Ꭸ²Ꭶ͓-	Ge²ji²-, Ge²g-		They					
	#Reflexive	CED pp 296-298							
vta, alt, ref	Ꭶ̣²Ꮣ²[Ꮣ͓]-	Gạ²da²[d]-	I	myself	a				
vta, ref	Ꭽ̣²Ꮣ²[Ꮣ͓]-	Hạ²da²[d]-	You one	yourself	a				
vta, ref	Ꭰ¹Ꮣ²[Ꮣ͓]-	A¹da²[d]-	He	himself	a				
vta, ref	Ꭲ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-	I¹nạ²da²[d]-	You one and I, we	ourselves	a				
vta, ref	Ꭲ¹Ꮣ̣²Ꮣ²[Ꮣ͓]-	I¹dạ²da²[d]-	You all and I, we	ourselves	a				
vta, ref	Ꭳ¹ᏍᏓ̣²Ꮣ²[Ꮣ͓]-	O¹sdạ²da²[d]-	He and I, we	ourselves	a				
vta, ref	Ꭳ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-	O¹jạ²da²[d]-	They and I, we	ourselves	a				
vta, ref	ᏍᏓ̣²Ꮣ²[Ꮣ͓]-	Sdạ²da²[d]-	You two	yourselves					
vta, ref	Ꭲ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-	I¹jạ²da²[d]-	You all	yourselves					
vta, ref	Ꭰ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-	A¹nạ²da²[d]-	They	themselves	a				
vta, ref	Ꭰ¹Ꮖ̣²Ꮣ²[Ꮣ͓]-	A¹gwạ²da²[d]-	I	myself	b				
vta, ref	Ꮳ̣²Ꮣ²[Ꮣ͓]-	Jạ²da²[d]-	You one	yourself	b				
vta, ref	Ꭴ¹Ꮣ²[Ꮣ͓]-	U¹da²[d]-	He	himself	b				
vta, ref	Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-	Gị²nạ²da²[d]-	You one and I, we	ourselves	b				
vta, ref	Ꭲ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-	I¹gạ²da²[d]-	You all and I, we	ourselves	b				
vta, ref	Ꭳ¹Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-	O¹gị²nạ²da²[d]-	He and I, we	ourselves	b				
vta, ref	Ꭳ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-	O¹gạ²da²[d]-	They and I, we	ourselves	b				
vta, ref	Ꭴ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-	U¹nạ²da²[d]-	They	themselves	b				
	#Reciprocal	CED pg 298							
